(24, 31) (0, 1) (13, 23) 
(24, 31) (0, 1) (13, 25) 
(24, 31) (0, 1) (12, 22) 
(24, 31) (0, 1) (12, 23) 
(24, 31) (0, 1) (12, 25) 
(24, 31) (0, 1) (10, 22) 
(24, 31) (0, 1) (10, 23) 
(24, 31) (0, 1) (10, 25) 
(24, 31) (0, 1) (8, 21) 
(24, 31) (0, 1) (8, 22) 
(24, 31) (0, 1) (8, 23) 
(24, 31) (0, 1) (8, 25) 
(24, 31) (0, 1) (5, 21) 
(24, 31) (0, 1) (5, 22) 
(24, 31) (0, 1) (5, 23) 
(24, 31) (0, 1) (5, 25) 
(24, 32) (0, 1) (17, 23) 
(24, 32) (0, 1) (17, 25) 
(24, 32) (0, 1) (16, 23) 
(24, 32) (0, 1) (16, 25) 
(24, 32) (0, 1) (13, 22) 
(24, 32) (0, 1) (13, 23) 
(24, 32) (0, 1) (13, 25) 
(24, 32) (0, 1) (12, 22) 
(24, 32) (0, 1) (12, 23) 
(24, 32) (0, 1) (12, 25) 
(24, 32) (0, 1) (10, 21) 
(24, 32) (0, 1) (10, 22) 
(24, 32) (0, 1) (10, 23) 
(24, 32) (0, 1) (10, 25) 
(24, 32) (0, 1) (8, 21) 
(24, 32) (0, 1) (8, 22) 
(24, 32) (0, 1) (8, 23) 
(24, 32) (0, 1) (8, 25) 
(24, 32) (0, 1) (5, 21) 
(24, 32) (0, 1) (5, 22) 
(24, 32) (0, 1) (5, 23) 
(24, 32) (0, 1) (5, 25) 
(24, 33) (0, 1) (18, 25) 
(24, 33) (0, 1) (17, 23) 
(24, 33) (0, 1) (17, 25) 
(24, 33) (0, 1) (16, 22) 
(24, 33) (0, 1) (16, 23) 
(24, 33) (0, 1) (16, 25) 
(24, 33) (0, 1) (13, 22) 
(24, 33) (0, 1) (13, 23) 
(24, 33) (0, 1) (13, 25) 
(24, 33) (0, 1) (12, 21) 
(24, 33) (0, 1) (12, 22) 
(24, 33) (0, 1) (12, 23) 
(24, 33) (0, 1) (12, 25) 
(24, 33) (0, 1) (10, 21) 
(24, 33) (0, 1) (10, 22) 
(24, 33) (0, 1) (10, 23) 
(24, 33) (0, 1) (10, 25) 
(24, 33) (0, 1) (8, 21) 
(24, 33) (0, 1) (8, 22) 
(24, 33) (0, 1) (8, 23) 
(24, 33) (0, 1) (8, 25) 
(24, 33) (0, 1) (5, 20) 
(24, 33) (0, 1) (5, 21) 
(24, 33) (0, 1) (5, 22) 
(24, 33) (0, 1) (5, 23) 
(24, 33) (0, 1) (5, 25) 
(23, 25) (0, 1) (17, 30) 
(23, 25) (0, 1) (15, 26) 
(23, 25) (0, 1) (15, 30) 
(23, 25) (0, 1) (12, 25) 
(23, 25) (0, 1) (12, 26) 
